,File,Subject,Time,Date,Message,SessionNum,PhaseNum,Trial,TrialStart,TrialTime,RawTrialTime,LRSoffset,Closest Ticks,Angle
55,REX_20251026084543.txt,Rex,127.187999413814,2025-10-26,Hit,1,2,8,124.731999297161,2.4560001166530014,2.4560001166530014,0.0,2.288000108673998,1.448831164773341
56,REX_20251026084543.txt,Rex,127.631999434903,2025-10-26,Hit,1,2,8,124.731999297161,2.9000001377419977,2.9000001377419977,0.0,3.0165702881433667,-1.0053003497769288
57,REX_20251026084543.txt,Rex,136.491999282967,2025-10-26,Hit,1,2,9,135.831999251619,0.6600000313479768,0.6600000313479768,0.0,0.664000031537995,-0.03378056616787737
58,REX_20251026084543.txt,Rex,137.019999308046,2025-10-26,Safe,1,2,9,135.831999251619,1.1880000564270006,1.1880000564270006,0.0,1.4080000668759851,-1.8579311392162137
59,REX_20251026084543.txt,Rex,137.451999328565,2025-10-26,Miss (already hit),1,2,9,135.831999251619,1.6200000769459848,1.6200000769459848,0.0,1.4080000668759851,1.7903700068892714
60,REX_20251026084543.txt,Rex,137.919999350794,2025-10-26,Hit,1,2,9,135.831999251619,2.088000099174991,2.088000099174991,0.0,2.1520001022140036,-0.5404890586752161
61,REX_20251026084543.txt,Rex,138.327999370173,2025-10-26,Miss,1,2,9,135.831999251619,2.4960001185539795,2.4960001185539795,0.0,2.1520001022140036,2.905128690420128
62,REX_20251026084543.txt,Rex,138.783999391831,2025-10-26,Hit,1,2,9,135.831999251619,2.952000140211993,2.952000140211993,0.0,2.8960001375529885,0.4829437215853944
63,REX_20251026084543.txt,Rex,139.43199942261,2025-10-26,Hit,1,2,9,135.831999251619,3.6000001709909952,3.6000001709909952,0.0,3.624570317022357,-0.21189280715818853
64,REX_20251026084543.txt,Rex,149.45999923395,2025-10-26,Hit,1,2,10,148.951999209821,0.5080000241289895,0.5080000241289895,0.0,0.6160000292589984,-0.9071978785792225
65,REX_20251026084543.txt,Rex,149.879999253899,2025-10-26,Miss,1,2,10,148.951999209821,0.9280000440780043,0.9280000440780043,0.0,0.6160000292589984,2.6207938714425194
66,REX_20251026084543.txt,Rex,150.275999272708,2025-10-26,Hit,1,2,10,148.951999209821,1.324000062886995,1.324000062886995,0.0,1.3640000647870067,-0.3359992142886717
67,REX_20251026084543.txt,Rex,150.635999289807,2025-10-26,Miss,1,2,10,148.951999209821,1.6840000799859922,1.6840000799859922,0.0,1.3640000647870067,2.7024452934093075
68,REX_20251026084543.txt,Rex,151.031999308616,2025-10-26,Hit,1,2,10,148.951999209821,2.0800000987950114,2.0800000987950114,0.0,2.108000100124997,-0.23646396317394147
69,REX_20251026084543.txt,Rex,151.427999327425,2025-10-26,Miss,1,2,10,148.951999209821,2.476000117604002,2.476000117604002,0.0,2.108000100124997,3.1078120874220367
70,REX_20251026084543.txt,Rex,151.847999347374,2025-10-26,Hit,1,2,10,148.951999209821,2.896000137553017,2.896000137553017,0.0,2.8520001354630153,0.3715862278449709
71,REX_20251026084543.txt,Rex,152.747999390122,2025-10-26,Safe,1,2,10,148.951999209821,3.7960001803010073,3.7960001803010073,0.0,3.5960001708010054,1.6890283083861877
72,REX_20251026084543.txt,Rex,153.31199941691,2025-10-26,Hit,1,2,10,148.951999209821,4.360000207089001,4.360000207089001,0.0,4.3400002061389955,0.16874123262487256
